Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R02,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
R03,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
R04,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
R05,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
R06,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
R07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R09,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
R0X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,8,2,0,0,0,0,0,0,0,0,1,0,0,11,
